time,lat,lon,pre,pre_predicted,pre_prediction_error,pre_absolute_error,pet,pet_predicted,pet_prediction_error,pet_absolute_error,spei
1902-01-16,6.25,101.25,81.0,81.52027,0.5202713,0.5202713,102.3,106.79946,4.4994583,4.4994583,-0.4621837307537443
1902-02-15,6.25,101.25,51.2,23.102667,-28.097334,28.097334,100.8,113.23939,12.439384,12.439384,-1.826680719997057
1902-03-16,6.25,101.25,86.4,92.68574,6.285736,6.285736,124.0,121.87899,-2.1210098,2.1210098,-0.22772067279992889
1902-04-16,6.25,101.25,206.2,170.27153,-35.928467,35.928467,114.0,115.130394,1.130394,1.130394,0.476980360183765
1902-05-16,6.25,101.25,210.6,175.58846,-35.01155,35.01155,102.3,102.45681,0.15680695,0.15680695,-0.5253914189103347
1902-06-16,6.25,101.25,176.1,144.91673,-31.183273,31.183273,96.0,97.90683,1.9068298,1.9068298,-0.25811951929992927
1902-07-16,6.25,101.25,100.700005,120.485954,19.78595,19.78595,99.2,96.134575,-3.065422,3.065422,-0.8106591789491555
1902-08-16,6.25,101.25,248.5,238.55153,-9.948471,9.948471,99.2,92.728096,-6.471901,6.471901,1.0921566240463902
1902-09-16,6.25,101.25,175.5,150.53429,-24.965714,24.965714,93.0,92.77418,-0.22582245,0.22582245,-1.5344635526782688
1902-10-16,6.25,101.25,447.4,475.831,28.431,28.431,89.9,85.93134,-3.9686584,3.9686584,2.050049394430863
1902-11-16,6.25,101.25,739.2,746.8905,7.6904907,7.6904907,81.0,79.03385,-1.9661484,1.9661484,1.7419387153942518
1902-12-16,6.25,101.25,327.80002,311.85657,-15.943451,15.943451,93.0,91.12589,-1.8741074,1.8741074,0.05686734789325253
1903-01-16,6.25,101.25,94.4,103.89344,9.493439,9.493439,108.5,107.92395,-0.5760498,0.5760498,0.14794914743475263
1903-02-15,6.25,101.25,37.9,45.13358,7.2335777,7.2335777,106.4,112.44784,6.0478363,6.0478363,-0.3816811721239844
1903-03-16,6.25,101.25,61.0,79.27313,18.273132,18.273132,127.1,125.44121,-1.6587906,1.6587906,-0.7551345431010492
1903-04-16,6.25,101.25,121.4,125.43451,4.0345078,4.0345078,117.0,122.71313,5.713127,5.713127,-0.9219954840972312
1903-05-16,6.25,101.25,205.0,195.75801,-9.241989,9.241989,105.4,106.05963,0.6596298,0.6596298,-0.05147065451584613
1903-06-16,6.25,101.25,136.6,109.13846,-27.461548,27.461548,93.0,95.69245,2.6924515,2.6924515,-1.1671304949742785
1903-07-16,6.25,101.25,112.700005,145.0035,32.30349,32.30349,96.100006,97.45275,1.352745,1.352745,-0.16840550729932238
1903-08-16,6.25,101.25,341.1,316.30862,-24.791382,24.791382,99.2,98.34315,-0.8568497,0.8568497,1.9791123809913924
1903-09-16,6.25,101.25,134.2,142.76506,8.565063,8.565063,90.0,88.72288,-1.2771225,1.2771225,-1.6162421264878666
1903-10-16,6.25,101.25,226.90001,196.945,-29.955002,29.955002,86.8,84.65045,-2.1495514,2.1495514,-1.1917301053644358
1903-11-16,6.25,101.25,322.5,329.2329,6.73291,6.73291,78.0,82.97611,4.9761124,4.9761124,-0.48974627872161536
1903-12-16,6.25,101.25,345.2,357.25305,12.05304,12.05304,80.600006,85.961075,5.3610687,5.3610687,0.5881776500909257
1904-01-16,6.25,101.25,176.90001,154.09322,-22.806793,22.806793,99.2,104.97599,5.7759933,5.7759933,1.3136843731560197
1904-02-15,6.25,101.25,50.3,61.29744,10.99744,10.99744,107.3,108.102684,0.80268097,0.80268097,0.9271234728879686
1904-03-16,6.25,101.25,48.9,56.60204,7.702038,7.702038,124.0,118.0198,-5.9802017,5.9802017,-1.2329014987376836
1904-04-16,6.25,101.25,140.7,147.04553,6.3455353,6.3455353,114.0,115.1775,1.1774979,1.1774979,-0.2014185618402509
1904-05-16,6.25,101.25,187.8,184.96013,-2.8398743,2.8398743,102.3,105.43673,3.1367264,3.1367264,-0.3423974169190812
1904-06-16,6.25,101.25,114.5,137.43695,22.93695,22.93695,96.0,95.27572,-0.7242813,0.7242813,-0.3917032630403164
