time,lat,lon,pre,pre_predicted,prediction_error_x,absolute_error_x,pet,pet_predicted,prediction_error_y,absolute_error_y,spei
1902-01-16,6.25,101.25,81.0,94.74551,13.745506,13.745506,102.3,108.231125,5.931122,5.931122,-0.8913007235181619
1902-02-15,6.25,101.25,51.2,86.96614,35.76614,35.76614,100.8,116.87522,16.075218,16.075218,-0.2920524358956086
1902-03-16,6.25,101.25,86.4,131.18767,44.787666,44.787666,124.0,124.1151,0.115097046,0.115097046,0.19939929921787417
1902-04-16,6.25,101.25,206.2,177.43523,-28.76477,28.76477,114.0,118.94991,4.949913,4.949913,0.4567632205462317
1902-05-16,6.25,101.25,210.6,189.04115,-21.558853,21.558853,102.3,105.71493,3.4149246,3.4149246,0.13245408285227175
1902-06-16,6.25,101.25,176.1,182.99197,6.891968,6.891968,96.0,99.46815,3.4681473,3.4681473,-0.16581503811918907
1902-07-16,6.25,101.25,100.700005,187.37953,86.67953,86.67953,99.2,99.91243,0.71243286,0.71243286,-0.6236622515006508
1902-08-16,6.25,101.25,248.5,210.75142,-37.74858,37.74858,99.2,100.35301,1.1530151,1.1530151,-0.16802657316769293
1902-09-16,6.25,101.25,175.5,234.74486,59.244858,59.244858,93.0,96.107506,3.1075058,3.1075058,-0.4807862115285387
1902-10-16,6.25,101.25,447.4,289.17545,-158.22455,158.22455,89.9,90.34306,0.44306183,0.44306183,0.45530427352179415
1902-11-16,6.25,101.25,739.2,435.57874,-303.62128,303.62128,81.0,81.991684,0.99168396,0.99168396,1.0767816497603693
1902-12-16,6.25,101.25,327.80002,344.91257,17.112549,17.112549,93.0,89.952515,-3.0474854,3.0474854,0.32791192900764704
1903-01-16,6.25,101.25,94.4,99.25934,4.859337,4.859337,108.5,108.654625,0.15462494,0.15462494,-0.6745562674088444
1903-02-15,6.25,101.25,37.9,86.88465,48.98465,48.98465,106.4,119.12378,12.723778,12.723778,-0.4897943602109493
1903-03-16,6.25,101.25,61.0,121.30294,60.30294,60.30294,127.1,124.51009,-2.5899048,2.5899048,-0.5578536987749309
1903-04-16,6.25,101.25,121.4,172.02518,50.625175,50.625175,117.0,119.54915,2.5491486,2.5491486,-0.11182360408533741
1903-05-16,6.25,101.25,205.0,195.85677,-9.143234,9.143234,105.4,109.88014,4.4801407,4.4801407,0.512512833967829
1903-06-16,6.25,101.25,136.6,190.03947,53.43947,53.43947,93.0,99.30403,6.3040314,6.3040314,0.8895107094234616
1903-07-16,6.25,101.25,112.700005,197.19948,84.49947,84.49947,96.100006,99.861465,3.7614594,3.7614594,1.0535613984605012
1903-08-16,6.25,101.25,341.1,220.63847,-120.46153,120.46153,99.2,99.37378,0.17378235,0.17378235,1.4161210755716627
1903-09-16,6.25,101.25,134.2,230.30295,96.10295,96.10295,90.0,94.42702,4.427017,4.427017,-0.9176927085709925
1903-10-16,6.25,101.25,226.90001,288.21863,61.31862,61.31862,86.8,85.929405,-0.87059784,0.87059784,0.6596603438473956
1903-11-16,6.25,101.25,322.5,419.11542,96.61542,96.61542,78.0,81.82381,3.8238068,3.8238068,0.32742803711799545
1903-12-16,6.25,101.25,345.2,354.7571,9.557098,9.557098,80.600006,87.544586,6.94458,6.94458,0.5921260193489407
1904-01-16,6.25,101.25,176.90001,107.90988,-68.99013,68.99013,99.2,107.158356,7.958359,7.958359,-0.07937349848423325
1904-02-15,6.25,101.25,50.3,76.6445,26.344501,26.344501,107.3,112.36699,5.066986,5.066986,-0.7754707103718727
1904-03-16,6.25,101.25,48.9,109.43104,60.531036,60.531036,124.0,124.33944,0.3394394,0.3394394,-1.3503350481604
1904-04-16,6.25,101.25,140.7,165.12077,24.420776,24.420776,114.0,120.332214,6.3322144,6.3322144,-0.8472221105016057
1904-05-16,6.25,101.25,187.8,192.7078,4.907791,4.907791,102.3,107.39897,5.0989685,5.0989685,0.4188778443500596
1904-06-16,6.25,101.25,114.5,184.7153,70.2153,70.2153,96.0,98.84621,2.8462067,2.8462067,0.20068380291681606
1904-07-16,6.25,101.25,200.7,189.72128,-10.978714,10.978714,96.100006,99.86862,3.7686157,3.7686157,-0.1576968052848229
1904-08-16,6.25,101.25,207.7,212.96095,5.260956,5.260956,99.2,99.34993,0.14993286,0.14993286,0.37473070512832973
1904-09-16,6.25,101.25,168.90001,234.4074,65.507385,65.507385,93.0,96.196724,3.196724,3.196724,-0.5487272921718005
1904-10-16,6.25,101.25,296.1,279.12024,-16.979767,16.979767,89.9,90.44383,0.5438309,0.5438309,-0.22474465606685576
1904-11-16,6.25,101.25,364.30002,395.57422,31.2742,31.2742,78.0,82.29799,4.297989,4.297989,-0.5472635184656899
1904-12-16,6.25,101.25,242.6,327.8986,85.298584,85.298584,86.8,85.56511,-1.2348938,1.2348938,0.07360286284761396
1905-01-16,6.25,101.25,112.0,103.809906,-8.190094,8.190094,108.5,104.62133,-3.8786697,3.8786697,-0.17554441094022216
1905-02-15,6.25,101.25,49.600002,76.12904,26.529041,26.529041,112.0,118.14617,6.1461716,6.1461716,-1.2515811859998613
1905-03-16,6.25,101.25,90.3,111.15296,20.852959,20.852959,127.1,124.50983,-2.5901718,2.5901718,-1.2523818833303066
1905-04-16,6.25,101.25,146.5,161.96492,15.46492,15.46492,117.0,120.789375,3.7893753,3.7893753,-1.172754200262396
1905-05-16,6.25,101.25,277.0,186.61415,-90.38585,90.38585,102.3,109.64258,7.342575,7.342575,-0.8082327539212756
1905-06-16,6.25,101.25,137.3,177.39359,40.093582,40.093582,96.0,99.15076,3.1507568,3.1507568,-1.0010638438624693
1905-07-16,6.25,101.25,157.8,188.35025,30.550247,30.550247,99.2,100.009186,0.80918884,0.80918884,-0.4507695073751083
1905-08-16,6.25,101.25,212.5,210.1416,-2.3583984,2.3583984,99.2,99.98904,0.7890396,0.7890396,-0.21111130757222737
1905-09-16,6.25,101.25,273.80002,237.61229,-36.18773,36.18773,93.0,96.0437,3.0437012,3.0437012,-0.01820375219455591
1905-10-16,6.25,101.25,349.0,285.035,-63.964996,63.964996,89.9,89.74748,-0.15251923,0.15251923,0.230565867617914
1905-11-16,6.25,101.25,437.5,438.48825,0.98825073,0.98825073,81.0,82.03482,1.0348206,1.0348206,1.2193266757410177
1905-12-16,6.25,101.25,291.9,387.74353,95.84354,95.84354,99.2,89.67197,-9.52803,9.52803,1.322860566208226
1906-01-16,6.25,101.25,125.1,111.97518,-13.124817,13.124817,111.600006,108.93868,-2.6613235,2.6613235,0.06329185375463163
1906-02-15,6.25,101.25,63.0,92.90141,29.901413,29.901413,112.0,119.56014,7.5601425,7.5601425,-0.011121967514449901
1906-03-16,6.25,101.25,75.1,135.0512,59.951195,59.951195,127.1,124.2071,-2.8928986,2.8928986,0.4710015037029126
1906-04-16,6.25,101.25,150.5,179.15593,28.65593,28.65593,120.0,118.94456,-1.0554428,1.0554428,0.6116836217935511
